DESCRIPCION	COD_DPTO
25 DE MAYO	9
FISCO DE FATIMA	13
25 DE MAYO	17
NEGRA MUERTA	5
9 DE JULIO	12
SANTA TERESA	8
9 DE JULIO	18
SANTA SILVINA	8
AÑATUYA	11
SAN MIGUEL	8
ABRA DE LA CRUZ	21
LLAJTA SUMAJ	8
ABRA GRANDE	5
SAN PEDRO	8
ACOS	21
KM 23	8
ACOSTA	5
CIUDAD CAPITAL	7
AEROLITO	17
LA BANDA	5
AGUA AMARGA	19
AGUA AZUL	19
AGUA BLANCA	2
AGUA BLANCA	18
AGUA DULCE	11
AGUSTINA LIBARONA	2
AHI VEREMOS	12
AHI VEREMOS	18
AHI VEREMOS	19
AIBAL	10
AIBALITO	2
AIBALITO	12
ALEJITO	26
ALGARROBAL VIEJO	19
ALHUAMPA	17
ALLPA YURAJ	2
ALTA GRACIA	7
ALTO BELLO	9
ALTO POZO	5
AMAMA	17
AMAPOLA	21
AMBARGASTA	18
AMICHA	21
AMIMAN	18
AMOLADERAS	18
AMPA	26
ANCAJAN	9
ANCHANGA	27
ANGA	24
ANTAJE	5
ANTILO	7
ARAGONES	21
ARBOL BLANCO	17
ARBOL DEL NEGRO	16
ARBOL SOLO	9
ARBOL SOLO	20
ARBOLITOS	10
ARBOLITOS	13
ARBOLITOS	18
ARDILES	5
ARGENTINA	1
ARGENTINA	8
ARMONIA	17
ARRAGA	27
ASPA SHINCHI	23
ASPA SINCHI	25
ATALAYA	9
ATOJ POZO	25
AVERIAS	11
AYUNCHA	14
BAEZ	18
BAHOMA	21
BAJADITA	3
BAJO GRANDE	5
BAJO GRANDE	19
BAJO VERAE	21
BALBUENA	18
BANDERA	6
BANDERA BAJADA	10
BARRANCA COLORADA	25
BARRANCAS	24
BARRANCAS	25
BARRANCAS COLORADAS	24
BARRIAL ALTO	25
BARRIALITO	18
BARRIALITO	21
BAYO MUERTO	5
BEJAN	5
BELBRANO	8
BELGRANO	12
BELGRANO	19
BELGRANO	20
BELLA VISTA	10
BELLA VISTA	13
BELLA VISTA	14
BELTRAN	23
BELTRAN-LORETO	14
BLANCA POZO	4
BOBADAL	13
BORDO PAMPA	24
BOTIJA	8
BREA POZO	25
BUEN LUGAR	2
BUEN LUGAR	19
BUENA VISTA	10
BUENA VISTA	18
BUENA VISTA	20
BUENA VISTA	21
BUENA VISTA	21
BUEY MUERTO	23
BUEY RODEO	27
BURRA HUAÑAUANA	14
CAÑADA RICA	14
CAÑADA SAN RAMON	25
CADILLO	9
CAJON	18
CALOJ	4
CAMPO ALEGRE	2
CAMPO ALEGRE	8
CAMPO ALEGRE	18
CAMPO ALEGRE	27
CAMPO DEL AGUILA	2
CAMPO DEL CIELO	15
CAMPO DEL CIELO	17
CAMPO DEL CISNE	20
CAMPO DEL CISNE	26
CAMPO GALLO	2
CAMPO GRANDE	2
CAMPO GRANDE	7
CAMPO GRANDE	19
CAMPO VERDE	8
CAMPO VERDE	10
CAMPO VERDE	12
CAMPO VERDE	17
CANARIO	9
CANCINOS	27
CANDELARIA	26
CANDELARIA	27
CARBON POZO	3
CARBON POZO	26
CARDON ESQUINA	10
CASARES	1
CASHICO	13
CASPI CORRAL	10
CAZADORES	25
CAÑADA DE LA COSTA	21
CAÑADA DEL MEDIO	7
